Area Name,Year,Sex,Total
Cypress County,2001,1,3331
Medicine Hat,2001,1,26061
Forty Mile County No. 8,2001,1,1840
Foremost,2001,1,275
Bow Island,2001,1,818
Redcliff,2001,1,2281
Warner County No. 5,2001,1,2010
Coutts,2001,1,182
Milk River,2001,1,439
Warner,2001,1,192
Raymond,2001,1,1601
Stirling,2001,1,465
Lethbridge County,2001,1,5256
Lethbridge,2001,1,33832
Coalhurst,2001,1,782
Nobleford,2001,1,327
Barons,2001,1,155
Picture Butte,2001,1,874
Coaldale,2001,1,3153
Taber,2001,1,3260
Taber,2001,1,3964
Barnwell,2001,1,295
Vauxhall,2001,1,596
Newell County No. 4,2001,1,3858
Tilley,2001,1,218
Brooks,2001,1,6392
Duchess,2001,1,462
Rosemary,2001,1,188
Bassano,2001,1,708
Cardston County,2001,1,2258
Magrath,2001,1,989
Improvement District No. 4 Waterton,2001,1,81
Cardston,2001,1,1661
Glenwood,2001,1,135
Hill Spring,2001,1,99
Pincher Creek No. 9,2001,1,1701
Pincher Creek,2001,1,1822
Cowley,2001,1,128
Willow Creek No. 26,2001,1,2892
Fort Macleod,2001,1,1458
Granum,2001,1,202
Claresholm,2001,1,1800
Stavely,2001,1,226
Nanton,2001,1,901
Piikani 147,2001,1,770
Blood 148,2001,1,2009
Blood 148A,2001,1,2
Acadia No. 34,2001,1,275
Special Area No. 2,2001,1,1259
Empress,2001,1,86
Hanna,2001,1,1527
Special Area No. 3,2001,1,813
Oyen,2001,1,522
Cereal,2001,1,91
Youngstown,2001,1,98
Special Area No. 4,2001,1,818
Veteran,2001,1,150
Consort,2001,1,326
Vulcan County,2001,1,1998
Carmangay,2001,1,133
Champion,2001,1,184
Vulcan,2001,1,866
Lomond,2001,1,95
Milo,2001,1,59
Arrowwood,2001,1,96
Wheatland County,2001,1,4233
Strathmore,2001,1,3958
Hussar,2001,1,95
Standard,2001,1,211
Rockyford,2001,1,187
Drumheller,2001,1,4176
Starland County,2001,1,1196
Delia,2001,1,112
Munson,2001,1,122
Morrin,2001,1,130
Kneehill County,2001,1,2781
Carbon,2001,1,279
Acme,2001,1,363
Linden,2001,1,320
Three Hills,2001,1,1412
Trochu,2001,1,529
Siksika 146,2001,1,1457
Foothills No. 31,2001,1,8729
High River,2001,1,4752
Longview,2001,1,160
Turner Valley,2001,1,821
Black Diamond,2001,1,940
Okotoks,2001,1,6055
Rocky View County,2001,1,15374
Calgary,2001,1,455844
Chestermere,2001,1,2251
Cochrane,2001,1,6172
Airdrie,2001,1,10673
Irricana,2001,1,536
Beiseker,2001,1,450
Crossfield,2001,1,1232
Mountain View County,2001,1,6384
Carstairs,2001,1,1183
Cremona,2001,1,204
Didsbury,2001,1,1965
Olds,2001,1,3274
Sundre,2001,1,1139
Eden Valley 216,2001,1,271
Tsuu T'ina Nation 145 (Sarcee 145),2001,1,1041
Provost No. 52,2001,1,1436
Provost,2001,1,996
Czar,2001,1,109
Hughenden,2001,1,118
Amisk,2001,1,86
Paintearth County No. 18,2001,1,1144
Coronation,2001,1,452
Castor,2001,1,458
Halkirk,2001,1,62
Stettler County No. 6,2001,1,2867
Big Valley,2001,1,174
Gadsby,2001,1,18
Botha,2001,1,101
Stettler,2001,1,2602
White Sands,2001,1,43
Rochon Sands,2001,1,35
Donalda,2001,1,111
Flagstaff County,2001,1,1975
Alliance,2001,1,89
Galahad,2001,1,82
Forestburg,2001,1,459
Heisler,2001,1,99
Daysland,2001,1,390
Strome,2001,1,149
Killam,2001,1,492
Sedgewick,2001,1,425
Lougheed,2001,1,122
Hardisty,2001,1,364
Wainwright No. 61,2001,1,2458
Chauvin,2001,1,196
Edgerton,2001,1,221
Wainwright,2001,1,2567
Irma,2001,1,225
Red Deer County,2001,1,9849
Elnora,2001,1,146
Delburne,2001,1,347
Jarvis Bay,2001,1,65
Bowden,2001,1,612
Innisfail,2001,1,3484
Penhold,2001,1,907
Red Deer,2001,1,35149
Sylvan Lake,2001,1,4018
Norglenwold,2001,1,134
Lacombe County,2001,1,5589
Birchcliff,2001,1,59
Eckville,2001,1,529
Half Moon Bay,2001,1,17
Bentley,2001,1,507
Sunbreaker Cove,2001,1,46
Gull Lake,2001,1,80
Blackfalds,2001,1,1675
Lacombe,2001,1,4719
Clive,2001,1,294
Alix,2001,1,449
Ponoka County,2001,1,4709
Ponoka,2001,1,3075
Parkland Beach,2001,1,49
Rimbey,2001,1,1010
Samson 137,2001,1,1551
Samson 137A,2001,1,11
Montana 139,2001,1,290
Clearwater County,2001,1,6165
Burnstick Lake,2001,1,4
Caroline,2001,1,297
Rocky Mountain House,2001,1,3208
O'Chiese 203,2001,1,263
Sunchild 202,2001,1,307
Big Horn 144A,2001,1,99
Camrose County,2001,1,3912
Bashaw,2001,1,407
Rosalind,2001,1,99
Ferintosh,2001,1,77
Edberg,2001,1,79
New Norway,2001,1,154
Bawlf,2001,1,178
Camrose,2001,1,7339
Bittern Lake,2001,1,122
Hay Lakes,2001,1,187
Beaver County,2001,1,3025
Tofield,2001,1,864
Ryley,2001,1,232
Holden,2001,1,182
Viking,2001,1,481
Minburn County No. 27,2001,1,1880
Vegreville,2001,1,2556
Innisfree,2001,1,109
Minburn,2001,1,50
Mannville,2001,1,363
Vermilion River County,2001,1,3997
Paradise Valley,2001,1,80
Lloydminster (Part),2001,1,6836
Kitscoty,2001,1,348
Vermilion,2001,1,1973
Marwayne,2001,1,258
Dewberry,2001,1,108
Two Hills County No. 21,2001,1,1508
Myrnam,2001,1,164
Two Hills,2001,1,520
Willingdon,2001,1,158
Lamont County,2001,1,2217
Andrew,2001,1,258
Mundare,2001,1,314
Chipman,2001,1,144
Lamont,2001,1,824
Bruderheim,2001,1,644
Improvement District No. 13 Elk Island,2001,1,13
Makaoo (Part) 120,2001,1,93
Wetaskiwin County No. 10,2001,1,5719
Wetaskiwin,2001,1,5477
Argentia Beach,2001,1,14
Grandview,2001,1,46
Poplar Bay,2001,1,42
Crystal Springs,2001,1,38
Norris Beach,2001,1,14
Ma-Me-O Beach,2001,1,37
Silver Beach,2001,1,18
Millet,2001,1,1057
Leduc County,2001,1,6884
Beaumont,2001,1,3657
Leduc,2001,1,7709
Devon,2001,1,2580
Calmar,2001,1,990
Sundance Beach,2001,1,19
Thorsby,2001,1,431
Itaska Beach,2001,1,5
Golden Days,2001,1,71
Warburg,2001,1,283
Breton,2001,1,289
Drayton Valley,2001,1,3170
Brazeau County,2001,1,3531
Parkland County,2001,1,14532
Seba Beach,2001,1,57
Betula Beach,2001,1,5
Point Alison,2001,1,6
Lakeview,2001,1,9
Kapasiwin,2001,1,8
Wabamun,2001,1,325
Spring Lake,2001,1,230
Stony Plain,2001,1,4847
Spruce Grove,2001,1,8304
Strathcona County,2001,1,37243
Fort Saskatchewan,2001,1,6769
Sturgeon County,2001,1,10027
Edmonton,2001,1,340595
St. Albert,2001,1,26967
Gibbons,2001,1,1372
Redwater,2001,1,1154
Bon Accord,2001,1,817
Morinville,2001,1,3391
Legal,2001,1,555
Ermineskin 138,2001,1,882
Pigeon Lake 138A,2001,1,187
Louis Bull 138B,2001,1,454
Stony Plain 135,2001,1,583
Alexander 134,2001,1,430
Wabamun 133A,2001,1,513
Wabamun 133B,2001,1,0
Cold Lake,2001,1,6153
Bonnyville No. 87,2001,1,5173
Bonnyville,2001,1,2993
Bonnyville Beach,2001,1,39
Glendon,2001,1,232
Pelican Narrows,2001,1,57
St. Paul County No. 19,2001,1,3295
Elk Point,2001,1,746
St. Paul,2001,1,2487
Horseshoe Bay,2001,1,30
Smoky Lake County,2001,1,2359
Vilna,2001,1,134
Waskatenau,2001,1,122
Smoky Lake,2001,1,449
Lac la Biche County,2001,1,4233
Unipouheos 121,2001,1,298
Puskiakiwenin 122,2001,1,212
Saddle Lake 125,2001,1,1555
White Fish Lake 128,2001,1,625
Cold Lake 149,2001,1,231
Kehewin 123,2001,1,526
Cold Lake 149A,2001,1,23
Cold Lake 149B,2001,1,68
Beaver Lake 131,2001,1,197
Heart Lake 167,2001,1,72
Lac Ste. Anne County,2001,1,5091
Mayerthorpe,2001,1,765
Nakamun Park,2001,1,20
Val Quentin,2001,1,79
West Cove,2001,1,50
Yellowstone,2001,1,49
Ross Haven,2001,1,57
Castle Island,2001,1,6
Silver Sands,2001,1,64
Sunset Point,2001,1,93
Alberta Beach,2001,1,399
Birch Cove,2001,1,32
Onoway,2001,1,432
South View,2001,1,44
Sandy Beach,2001,1,108
Sunrise Beach,2001,1,43
Barrhead County No. 11,2001,1,3089
Barrhead,2001,1,2034
Westlock County,2001,1,3742
Woodlands County,2001,1,2108
Whitecourt,2001,1,4579
Westlock,2001,1,2313
Clyde,2001,1,264
Larkspur,2001,1,13
Thorhild County No. 7,2001,1,1946
Athabasca County,2001,1,4051
Mewatha Beach,2001,1,58
Boyle,2001,1,433
Sunset Beach,2001,1,25
Athabasca,2001,1,1168
Island Lake,2001,1,108
Island Lake South,2001,1,37
Bondiss,2001,1,55
South Baptiste,2001,1,28
West Baptiste,2001,1,25
Whispering Hills,2001,1,68
Alexis 133,2001,1,450
Yellowhead County,2001,1,5297
Hinton,2001,1,4987
Edson,2001,1,3997
Improvement District No. 25 Willmore Wilderness,2001,1,0
Crowsnest Pass,2001,1,3187
Kananaskis,2001,1,274
Bighorn No. 8,2001,1,693
Canmore,2001,1,5642
Ghost Lake,2001,1,40
Waiparous,2001,1,36
Improvement District No. 9 Banff,2001,1,891
Jasper,2001,1,2221
Banff,2001,1,3832
Improvement District No. 12 Jasper Park,2001,1,25
Ranchland No. 66,2001,1,47
"Stoney 142, 143, 144",2001,1,1078
Wood Buffalo,2001,1,22652
Improvement District No. 24 Wood Buffalo,2001,1,208
Janvier 194,2001,1,145
Gregoire Lake 176,2001,1,55
Gregoire Lake 176A,2001,1,72
Chipewyan 201A,2001,1,0
Old Fort 217,2001,1,2
Allison Bay 219,2001,1,57
Dog Head 218,2001,1,54
Charles Lake 225,2001,1,1
Fort McKay 174,2001,1,0
Namur River 174A,2001,1,0
Namur Lake 174B,2001,1,0
Fort Mackay,2001,1,223
Thebathi 196,2001,1,11
Thabacha Náre 196A,2001,1,0
High Prairie,2001,1,1387
Swan Hills,2001,1,1000
Northern Sunrise County,2001,1,1147
Big Lakes,2001,1,3222
Slave Lake,2001,1,3477
Opportunity No. 17,2001,1,1628
Lesser Slave River No.124,2001,1,1514
Nampa,2001,1,196
Clear Hills,2001,1,1541
Hines Creek,2001,1,225
Northern Lights County,2001,1,2290
Manning,2001,1,672
High Level,2001,1,1862
Mackenzie County,2001,1,4755
Rainbow Lake,2001,1,568
Jean Baptiste Gambler 183,2001,1,89
Wabasca 166,2001,1,42
Wabasca 166A,2001,1,255
Wabasca 166B,2001,1,92
Wabasca 166C,2001,1,90
Wabasca 166D,2001,1,432
Utikoomak Lake 155,2001,1,418
Clear Hills 152C,2001,1,8
Utikoomak Lake 155A,2001,1,70
Drift Pile River 150,2001,1,357
Sucker Creek 150A,2001,1,290
Kapawe'no First Nation (Pakashan 150D),2001,1,5
Swan River 150E,2001,1,159
Sawridge 150G,2001,1,40
Sawridge 150H,2001,1,2
Fox Lake 162,2001,1,654
Kapawe'no First Nation (Freeman 150B),2001,1,36
John d'Or Prairie 215,2001,1,449
Tall Cree 173,2001,1,95
Tall Cree 173A,2001,1,105
Beaver Ranch 163,2001,1,13
Boyer 164,2001,1,88
Child Lake 164A,2001,1,83
Hay Lake 209,2001,1,504
Bushe River 207,2001,1,152
Upper Hay River 212,2001,1,190
Kapawe'no First Nation (Halcro 150C),2001,1,0
Little Buffalo,2001,1,152
Carcajou 187,2001,1,0
Desmarais,2001,1,60
Woodland Cree 226,2001,1,234
Woodland Cree 228,2001,1,57
Kapawe'no First Nation (Grouard 230),2001,1,0
Fort Vermilion 173B,2001,1,1
Loon Lake 235,2001,1,214
Fox Creek,2001,1,1313
Grande Cache,2001,1,2117
Greenview No. 16,2001,1,2918
Valleyview,2001,1,958
Sturgeon Lake 154,2001,1,471
Sturgeon Lake 154A,2001,1,11
Grande Prairie County No. 1,2001,1,8424
Hythe,2001,1,296
Beaverlodge,2001,1,1104
Wembley,2001,1,799
Grande Prairie,2001,1,19573
Sexsmith,2001,1,852
Peace River,2001,1,3275
Smoky River No. 130,2001,1,1326
McLennan,2001,1,381
Donnelly,2001,1,170
Falher,2001,1,553
Girouxville,2001,1,161
Birch Hills County,2001,1,886
Spirit River No. 133,2001,1,444
Rycroft,2001,1,325
Spirit River,2001,1,573
Saddle Hills County,2001,1,1377
Fairview No. 136,2001,1,962
Fairview,2001,1,1571
Peace No. 135,2001,1,798
Berwyn,2001,1,293
Grimshaw,2001,1,1262
Horse Lakes 152B,2001,1,161
Duncan's 151A,2001,1,60
Cypress County,2001,2,2932
Medicine Hat,2001,2,26544
Forty Mile County No. 8,2001,2,1665
Foremost,2001,2,267
Bow Island,2001,2,920
Redcliff,2001,2,2217
Warner County No. 5,2001,2,1860
Coutts,2001,2,188
Milk River,2001,2,455
Warner,2001,2,192
Raymond,2001,2,1656
Stirling,2001,2,431
Lethbridge County,2001,2,4907
Lethbridge,2001,2,35386
Coalhurst,2001,2,729
Nobleford,2001,2,297
Barons,2001,2,134
Picture Butte,2001,2,857
Coaldale,2001,2,2984
Taber,2001,2,2893
Taber,2001,2,3897
Barnwell,2001,2,267
Vauxhall,2001,2,539
Newell County No. 4,2001,2,3446
Tilley,2001,2,214
Brooks,2001,2,5604
Duchess,2001,2,398
Rosemary,2001,2,188
Bassano,2001,2,641
Cardston County,2001,2,2154
Magrath,2001,2,1051
Improvement District No. 4 Waterton,2001,2,78
Cardston,2001,2,1893
Glenwood,2001,2,128
Hill Spring,2001,2,98
Pincher Creek No. 9,2001,2,1579
Pincher Creek,2001,2,1927
Cowley,2001,2,102
Willow Creek No. 26,2001,2,2680
Fort Macleod,2001,2,1604
Granum,2001,2,199
Claresholm,2001,2,1902
Stavely,2001,2,225
Nanton,2001,2,989
Piikani 147,2001,2,803
Blood 148,2001,2,1945
Blood 148A,2001,2,2
Acadia No. 34,2001,2,253
Special Area No. 2,2001,2,1102
Empress,2001,2,88
Hanna,2001,2,1532
Special Area No. 3,2001,2,687
Oyen,2001,2,520
Cereal,2001,2,98
Youngstown,2001,2,90
Special Area No. 4,2001,2,725
Veteran,2001,2,150
Consort,2001,2,325
Vulcan County,2001,2,1860
Carmangay,2001,2,128
Champion,2001,2,178
Vulcan,2001,2,934
Lomond,2001,2,81
Milo,2001,2,59
Arrowwood,2001,2,105
Wheatland County,2001,2,3862
Strathmore,2001,2,3935
Hussar,2001,2,90
Standard,2001,2,187
Rockyford,2001,2,196
Drumheller,2001,2,3816
Starland County,2001,2,1067
Delia,2001,2,107
Munson,2001,2,105
Morrin,2001,2,127
Kneehill County,2001,2,2645
Carbon,2001,2,264
Acme,2001,2,298
Linden,2001,2,329
Three Hills,2001,2,1550
Trochu,2001,2,525
Siksika 146,2001,2,1383
Foothills No. 31,2001,2,8242
High River,2001,2,4845
Longview,2001,2,145
Turner Valley,2001,2,819
Black Diamond,2001,2,956
Okotoks,2001,2,6010
Rocky View County,2001,2,14340
Calgary,2001,2,448157
Chestermere,2001,2,2146
Cochrane,2001,2,6160
Airdrie,2001,2,10404
Irricana,2001,2,532
Beiseker,2001,2,403
Crossfield,2001,2,1215
Mountain View County,2001,2,5926
Carstairs,2001,2,1151
Cremona,2001,2,220
Didsbury,2001,2,2042
Olds,2001,2,3476
Sundre,2001,2,1182
Eden Valley 216,2001,2,247
Tsuu T'ina Nation 145 (Sarcee 145),2001,2,991
Provost No. 52,2001,2,1265
Provost,2001,2,1040
Czar,2001,2,102
Hughenden,2001,2,123
Amisk,2001,2,99
Paintearth County No. 18,2001,2,1097
Coronation,2001,2,472
Castor,2001,2,491
Halkirk,2001,2,58
Stettler County No. 6,2001,2,2624
Big Valley,2001,2,173
Gadsby,2001,2,22
Botha,2001,2,90
Stettler,2001,2,2766
White Sands,2001,2,33
Rochon Sands,2001,2,24
Donalda,2001,2,125
Flagstaff County,2001,2,1791
Alliance,2001,2,86
Galahad,2001,2,82
Forestburg,2001,2,432
Heisler,2001,2,88
Daysland,2001,2,405
Strome,2001,2,130
Killam,2001,2,535
Sedgewick,2001,2,460
Lougheed,2001,2,111
Hardisty,2001,2,398
Wainwright No. 61,2001,2,1861
Chauvin,2001,2,179
Edgerton,2001,2,190
Wainwright,2001,2,2662
Irma,2001,2,220
Red Deer County,2001,2,8626
Elnora,2001,2,150
Delburne,2001,2,389
Jarvis Bay,2001,2,63
Bowden,2001,2,585
Innisfail,2001,2,3607
Penhold,2001,2,866
Red Deer,2001,2,35204
Sylvan Lake,2001,2,3764
Norglenwold,2001,2,137
Lacombe County,2001,2,5164
Birchcliff,2001,2,47
Eckville,2001,2,509
Half Moon Bay,2001,2,18
Bentley,2001,2,551
Sunbreaker Cove,2001,2,41
Gull Lake,2001,2,68
Blackfalds,2001,2,1601
Lacombe,2001,2,4898
Clive,2001,2,309
Alix,2001,2,391
Ponoka County,2001,2,4249
Ponoka,2001,2,3414
Parkland Beach,2001,2,51
Rimbey,2001,2,1178
Samson 137,2001,2,1592
Samson 137A,2001,2,5
Montana 139,2001,2,306
Clearwater County,2001,2,5620
Burnstick Lake,2001,2,5
Caroline,2001,2,272
Rocky Mountain House,2001,2,3167
O'Chiese 203,2001,2,253
Sunchild 202,2001,2,304
Big Horn 144A,2001,2,99
Camrose County,2001,2,3514
Bashaw,2001,2,432
Rosalind,2001,2,95
Ferintosh,2001,2,76
Edberg,2001,2,75
New Norway,2001,2,145
Bawlf,2001,2,192
Camrose,2001,2,7958
Bittern Lake,2001,2,104
Hay Lakes,2001,2,167
Beaver County,2001,2,2742
Tofield,2001,2,985
Ryley,2001,2,215
Holden,2001,2,200
Viking,2001,2,592
Minburn County No. 27,2001,2,1627
Vegreville,2001,2,2925
Innisfree,2001,2,114
Minburn,2001,2,42
Mannville,2001,2,376
Vermilion River County,2001,2,3691
Paradise Valley,2001,2,77
Lloydminster (Part),2001,2,6782
Kitscoty,2001,2,342
Vermilion,2001,2,2070
Marwayne,2001,2,249
Dewberry,2001,2,97
Two Hills County No. 21,2001,2,1278
Myrnam,2001,2,165
Two Hills,2001,2,589
Willingdon,2001,2,134
Lamont County,2001,2,2018
Andrew,2001,2,236
Mundare,2001,2,358
Chipman,2001,2,109
Lamont,2001,2,899
Bruderheim,2001,2,587
Improvement District No. 13 Elk Island,2001,2,14
Makaoo (Part) 120,2001,2,87
Wetaskiwin County No. 10,2001,2,5165
Wetaskiwin,2001,2,5920
Argentia Beach,2001,2,10
Grandview,2001,2,42
Poplar Bay,2001,2,44
Crystal Springs,2001,2,36
Norris Beach,2001,2,15
Ma-Me-O Beach,2001,2,48
Silver Beach,2001,2,21
Millet,2001,2,1020
Leduc County,2001,2,6282
Beaumont,2001,2,3544
Leduc,2001,2,7701
Devon,2001,2,2527
Calmar,2001,2,957
Sundance Beach,2001,2,18
Thorsby,2001,2,387
Itaska Beach,2001,2,3
Golden Days,2001,2,58
Warburg,2001,2,290
Breton,2001,2,296
Drayton Valley,2001,2,3077
Brazeau County,2001,2,3220
Parkland County,2001,2,13279
Seba Beach,2001,2,55
Betula Beach,2001,2,3
Point Alison,2001,2,4
Lakeview,2001,2,6
Kapasiwin,2001,2,7
Wabamun,2001,2,289
Spring Lake,2001,2,236
Stony Plain,2001,2,5039
Spruce Grove,2001,2,8127
Strathcona County,2001,2,36489
Fort Saskatchewan,2001,2,6673
Sturgeon County,2001,2,8470
Edmonton,2001,2,343475
St. Albert,2001,2,27347
Gibbons,2001,2,1337
Redwater,2001,2,1057
Bon Accord,2001,2,750
Morinville,2001,2,3293
Legal,2001,2,529
Ermineskin 138,2001,2,819
Pigeon Lake 138A,2001,2,193
Louis Bull 138B,2001,2,465
Stony Plain 135,2001,2,552
Alexander 134,2001,2,430
Wabamun 133A,2001,2,510
Wabamun 133B,2001,2,0
Cold Lake,2001,2,5722
Bonnyville No. 87,2001,2,4518
Bonnyville,2001,2,2851
Bonnyville Beach,2001,2,36
Glendon,2001,2,236
Pelican Narrows,2001,2,58
St. Paul County No. 19,2001,2,2954
Elk Point,2001,2,736
St. Paul,2001,2,2686
Horseshoe Bay,2001,2,26
Smoky Lake County,2001,2,2126
Vilna,2001,2,139
Waskatenau,2001,2,135
Smoky Lake,2001,2,576
Lac la Biche County,2001,2,4057
Unipouheos 121,2001,2,307
Puskiakiwenin 122,2001,2,231
Saddle Lake 125,2001,2,1441
White Fish Lake 128,2001,2,580
Cold Lake 149,2001,2,217
Kehewin 123,2001,2,489
Cold Lake 149A,2001,2,18
Cold Lake 149B,2001,2,45
Beaver Lake 131,2001,2,203
Heart Lake 167,2001,2,57
Lac Ste. Anne County,2001,2,4487
Mayerthorpe,2001,2,838
Nakamun Park,2001,2,15
Val Quentin,2001,2,67
West Cove,2001,2,59
Yellowstone,2001,2,51
Ross Haven,2001,2,56
Castle Island,2001,2,6
Silver Sands,2001,2,64
Sunset Point,2001,2,88
Alberta Beach,2001,2,381
Birch Cove,2001,2,17
Onoway,2001,2,436
South View,2001,2,43
Sandy Beach,2001,2,98
Sunrise Beach,2001,2,57
Barrhead County No. 11,2001,2,2808
Barrhead,2001,2,2264
Westlock County,2001,2,3265
Woodlands County,2001,2,1807
Whitecourt,2001,2,4044
Westlock,2001,2,2605
Clyde,2001,2,239
Larkspur,2001,2,7
Thorhild County No. 7,2001,2,1701
Athabasca County,2001,2,3636
Mewatha Beach,2001,2,45
Boyle,2001,2,423
Sunset Beach,2001,2,27
Athabasca,2001,2,1309
Island Lake,2001,2,99
Island Lake South,2001,2,36
Bondiss,2001,2,51
South Baptiste,2001,2,18
West Baptiste,2001,2,22
Whispering Hills,2001,2,53
Alexis 133,2001,2,379
Yellowhead County,2001,2,4778
Hinton,2001,2,4645
Edson,2001,2,3778
Improvement District No. 25 Willmore Wilderness,2001,2,0
Crowsnest Pass,2001,2,3130
Kananaskis,2001,2,205
Bighorn No. 8,2001,2,630
Canmore,2001,2,5446
Ghost Lake,2001,2,30
Waiparous,2001,2,19
Improvement District No. 9 Banff,2001,2,662
Jasper,2001,2,2067
Banff,2001,2,3520
Improvement District No. 12 Jasper Park,2001,2,26
Ranchland No. 66,2001,2,51
"Stoney 142, 143, 144",2001,2,1144
Wood Buffalo,2001,2,20038
Improvement District No. 24 Wood Buffalo,2001,2,168
Janvier 194,2001,2,112
Gregoire Lake 176,2001,2,52
Gregoire Lake 176A,2001,2,63
Chipewyan 201A,2001,2,0
Old Fort 217,2001,2,2
Allison Bay 219,2001,2,55
Dog Head 218,2001,2,39
Charles Lake 225,2001,2,0
Fort McKay 174,2001,2,0
Namur River 174A,2001,2,0
Namur Lake 174B,2001,2,0
Fort Mackay,2001,2,225
Thebathi 196,2001,2,10
Thabacha Náre 196A,2001,2,0
High Prairie,2001,2,1411
Swan Hills,2001,2,853
Northern Sunrise County,2001,2,1011
Big Lakes,2001,2,2979
Slave Lake,2001,2,3318
Opportunity No. 17,2001,2,1476
Lesser Slave River No.124,2001,2,1357
Nampa,2001,2,184
Clear Hills,2001,2,1288
Hines Creek,2001,2,223
Northern Lights County,2001,2,1992
Manning,2001,2,656
High Level,2001,2,1691
Mackenzie County,2001,2,4410
Rainbow Lake,2001,2,438
Jean Baptiste Gambler 183,2001,2,84
Wabasca 166,2001,2,33
Wabasca 166A,2001,2,270
Wabasca 166B,2001,2,74
Wabasca 166C,2001,2,96
Wabasca 166D,2001,2,446
Utikoomak Lake 155,2001,2,412
Clear Hills 152C,2001,2,6
Utikoomak Lake 155A,2001,2,54
Drift Pile River 150,2001,2,315
Sucker Creek 150A,2001,2,272
Kapawe'no First Nation (Pakashan 150D),2001,2,2
Swan River 150E,2001,2,155
Sawridge 150G,2001,2,27
Sawridge 150H,2001,2,6
Fox Lake 162,2001,2,646
Kapawe'no First Nation (Freeman 150B),2001,2,29
John d'Or Prairie 215,2001,2,428
Tall Cree 173,2001,2,82
Tall Cree 173A,2001,2,81
Beaver Ranch 163,2001,2,6
Boyer 164,2001,2,88
Child Lake 164A,2001,2,77
Hay Lake 209,2001,2,435
Bushe River 207,2001,2,175
Upper Hay River 212,2001,2,164
Kapawe'no First Nation (Halcro 150C),2001,2,0
Little Buffalo,2001,2,144
Carcajou 187,2001,2,0
Desmarais,2001,2,54
Woodland Cree 226,2001,2,194
Woodland Cree 228,2001,2,44
Kapawe'no First Nation (Grouard 230),2001,2,0
Fort Vermilion 173B,2001,2,1
Loon Lake 235,2001,2,195
Fox Creek,2001,2,1082
Grande Cache,2001,2,1793
Greenview No. 16,2001,2,2627
Valleyview,2001,2,949
Sturgeon Lake 154,2001,2,423
Sturgeon Lake 154A,2001,2,4
Grande Prairie County No. 1,2001,2,7600
Hythe,2001,2,301
Beaverlodge,2001,2,1052
Wembley,2001,2,732
Grande Prairie,2001,2,18702
Sexsmith,2001,2,844
Peace River,2001,2,3106
Smoky River No. 130,2001,2,1125
McLennan,2001,2,436
Donnelly,2001,2,187
Falher,2001,2,570
Girouxville,2001,2,150
Birch Hills County,2001,2,779
Spirit River No. 133,2001,2,390
Rycroft,2001,2,297
Spirit River,2001,2,548
Saddle Hills County,2001,2,1233
Fairview No. 136,2001,2,871
Fairview,2001,2,1649
Peace No. 135,2001,2,719
Berwyn,2001,2,262
Grimshaw,2001,2,1223
Horse Lakes 152B,2001,2,171
Duncan's 151A,2001,2,64
Cypress County,2001,3,6263
Medicine Hat,2001,3,52605
Forty Mile County No. 8,2001,3,3505
Foremost,2001,3,542
Bow Island,2001,3,1738
Redcliff,2001,3,4498
Warner County No. 5,2001,3,3870
Coutts,2001,3,370
Milk River,2001,3,894
Warner,2001,3,384
Raymond,2001,3,3257
Stirling,2001,3,896
Lethbridge County,2001,3,10163
Lethbridge,2001,3,69218
Coalhurst,2001,3,1511
Nobleford,2001,3,624
Barons,2001,3,289
Picture Butte,2001,3,1731
Coaldale,2001,3,6137
Taber,2001,3,6153
Taber,2001,3,7861
Barnwell,2001,3,562
Vauxhall,2001,3,1135
Newell County No. 4,2001,3,7304
Tilley,2001,3,432
Brooks,2001,3,11996
Duchess,2001,3,860
Rosemary,2001,3,376
Bassano,2001,3,1349
Cardston County,2001,3,4412
Magrath,2001,3,2040
Improvement District No. 4 Waterton,2001,3,159
Cardston,2001,3,3554
Glenwood,2001,3,263
Hill Spring,2001,3,197
Pincher Creek No. 9,2001,3,3280
Pincher Creek,2001,3,3749
Cowley,2001,3,230
Willow Creek No. 26,2001,3,5572
Fort Macleod,2001,3,3062
Granum,2001,3,401
Claresholm,2001,3,3702
Stavely,2001,3,451
Nanton,2001,3,1890
Piikani 147,2001,3,1573
Blood 148,2001,3,3954
Blood 148A,2001,3,4
Acadia No. 34,2001,3,528
Special Area No. 2,2001,3,2361
Empress,2001,3,174
Hanna,2001,3,3059
Special Area No. 3,2001,3,1500
Oyen,2001,3,1042
Cereal,2001,3,189
Youngstown,2001,3,188
Special Area No. 4,2001,3,1543
Veteran,2001,3,300
Consort,2001,3,651
Vulcan County,2001,3,3858
Carmangay,2001,3,261
Champion,2001,3,362
Vulcan,2001,3,1800
Lomond,2001,3,176
Milo,2001,3,118
Arrowwood,2001,3,201
Wheatland County,2001,3,8095
Strathmore,2001,3,7893
Hussar,2001,3,185
Standard,2001,3,398
Rockyford,2001,3,383
Drumheller,2001,3,7992
Starland County,2001,3,2263
Delia,2001,3,219
Munson,2001,3,227
Morrin,2001,3,257
Kneehill County,2001,3,5426
Carbon,2001,3,543
Acme,2001,3,661
Linden,2001,3,649
Three Hills,2001,3,2962
Trochu,2001,3,1054
Siksika 146,2001,3,2840
Foothills No. 31,2001,3,16971
High River,2001,3,9597
Longview,2001,3,305
Turner Valley,2001,3,1640
Black Diamond,2001,3,1896
